EmployeeLeft,HR Touchpoints,Hired through SMTP,LinkedIn Skill Code,Mentor Program Involvement (Scaled),National Origin (code),Recruiting Method Code,"Salary Level, Relative to Peers (Grouped)","Social Media Activity (Twitter, Facebook, Instagram)","Survey, Relative, Attitude toward Environment","Survey, Relative, Attitude toward Peers","Survey, Relative, Attitude toward Resources","Survey, Relative, Attitude toward Work/Life Balance","Survey, Relative, Attitude toward WorkType","Survey, Relative, Attitude toward Workload","Survey, Relative, Peer's Average Attitude toward Peers","Survey, Relative, Peer's Average Attitude toward Resources","Survey, Relative, Peer's Average Attitude toward Work/Life Balance","Survey, Relative, Peer's Average Attitude toward WorkType","Survey, Relative, Peer's Average Attitude toward Workload",Weekly Hours Worked,Years of Service
0.0,0,0,22856,7,0,66245,96,1,5,7,5,4,2,3,4,2,1,3,2,42,4
0.0,0,1,10000,7,0,54996,96,0,2,1,2,2,6,5,5,6,3,3,1,39,0
0.0,0,1,10000,2,0,66245,112,1,4,3,4,1,4,1,1,1,3,4,1,33,2
0.0,0,1,74280,6,1,43747,88,1,5,1,5,4,7,2,2,3,1,2,2,36,2
1.0,4,1,35712,1,1,77494,88,0,2,4,1,3,4,5,4,5,7,5,1,39,4
1.0,10,0,35712,4,1,54996,104,3,3,7,1,5,3,3,5,1,1,4,1,42,7
1.0,2,0,10000,4,2,54996,112,4,5,7,2,4,4,8,1,5,4,6,2,36,7
1.0,2,1,87136,7,5,10000,88,7,5,6,1,1,4,1,1,4,5,3,5,39,2
1.0,2,1,74280,2,3,77494,104,1,5,2,4,3,4,8,5,4,3,3,1,33,3
1.0,0,0,74280,6,1,10000,112,5,5,5,3,4,6,1,1,7,1,4,1,33,3
1.0,0,1,74280,3,5,21249,96,2,4,5,2,4,1,6,5,1,6,2,4,36,3
1.0,2,1,48568,6,5,77494,96,2,5,1,4,4,4,1,3,1,1,1,3,42,4
1.0,2,1,74280,5,1,77494,88,3,3,5,3,5,6,3,3,2,4,4,1,45,1
1.0,0,0,48568,6,0,66245,96,3,5,6,2,3,5,1,4,3,3,4,5,39,2
1.0,2,0,22856,7,4,10000,112,1,5,2,5,4,4,6,3,5,2,3,2,36,2
1.0,0,1,35712,7,0,54996,112,5,3,4,1,5,5,7,1,7,2,5,2,39,2
1.0,0,0,74280,3,0,32498,88,1,3,5,1,5,5,3,5,2,1,4,1,39,1
0.0,0,0,87136,6,0,32498,88,3,3,1,5,4,6,4,2,6,1,5,2,39,2
0.0,0,0,87136,5,0,54996,104,3,2,5,5,4,6,4,1,3,3,5,1,42,1
1.0,0,1,22856,4,0,77494,112,2,2,5,2,2,6,1,1,3,1,3,2,45,3
1.0,0,0,22856,2,0,43747,88,1,5,3,5,5,6,3,2,6,5,3,1,36,1
1.0,0,1,61424,6,0,66245,104,3,5,7,2,3,3,3,2,2,3,1,1,42,4
0.0,0,1,87136,4,1,77494,96,2,3,3,4,2,2,2,1,5,4,6,1,39,1
1.0,0,1,74280,7,5,32498,88,1,3,3,4,5,3,2,1,6,2,4,1,45,2
0.0,0,1,10000,3,0,77494,96,5,4,1,3,5,1,1,1,5,2,5,1,36,2
0.0,2,0,74280,2,0,54996,112,2,2,1,4,3,4,5,1,3,5,4,3,39,3
1.0,0,0,87136,3,1,77494,88,0,4,7,2,3,4,8,1,2,1,3,2,42,4
0.0,2,1,35712,6,0,66245,96,3,1,6,5,1,2,1,1,4,6,1,1,33,4
1.0,2,1,35712,7,2,66245,96,3,2,1,1,2,2,3,3,3,1,1,1,30,2
1.0,0,0,87136,3,5,21249,80,3,5,5,3,5,3,1,1,1,4,1,5,45,2
1.0,0,1,87136,3,5,66245,104,2,5,6,5,4,2,2,1,1,1,4,1,39,2
0.0,2,1,87136,7,0,43747,96,2,4,7,1,4,2,2,1,3,3,5,2,30,1
0.0,2,0,61424,6,0,66245,80,3,2,2,4,1,5,1,3,4,1,5,6,45,6
1.0,0,0,61424,6,1,66245,88,1,4,4,1,5,4,1,1,5,1,3,3,33,4
0.0,2,0,74280,6,0,66245,80,1,3,2,2,3,3,1,3,6,4,4,2,33,0
1.0,0,0,10000,7,1,77494,112,2,4,6,1,3,5,1,2,2,1,4,1,45,1
1.0,4,1,48568,7,5,66245,96,4,3,7,3,4,4,1,1,4,1,4,2,45,2
0.0,2,1,10000,2,0,54996,88,5,2,3,2,3,2,4,2,1,1,2,1,42,1
